lambda,seed,residuum,penalty,warmup,mode,split,acc_fine,acc_coarse,exact,consist,soft_viol,epochs,timestamp
2,1,lukasiewicz,linear,3,marginal,test,24.6600,38.2000,22.6100,84.9200,0.008274,20,2026-07-19T23:07:16
2,2,lukasiewicz,linear,3,raw,val,24.0400,38.1000,21.4400,78.6800,0.008393,20,2026-07-19T23:09:56
2,2,lukasiewicz,linear,3,hard,val,24.0400,38.0000,24.0400,100.0000,0.008393,20,2026-07-19T23:09:56
2,2,lukasiewicz,linear,3,marginal,val,24.0400,38.2000,22.2400,84.0200,0.008393,20,2026-07-19T23:09:56
2,2,lukasiewicz,linear,3,raw,test,23.8900,37.5300,21.2500,79.0900,0.008818,20,2026-07-19T23:09:56
2,2,lukasiewicz,linear,3,hard,test,23.8900,38.0400,23.8900,100.0000,0.008818,20,2026-07-19T23:09:56
2,2,lukasiewicz,linear,3,marginal,test,23.8900,37.9700,21.8800,83.8100,0.008818,20,2026-07-19T23:09:56
2,3,lukasiewicz,linear,3,raw,val,24.2600,37.4200,21.3000,78.6400,0.009306,20,2026-07-19T23:12:39
2,3,lukasiewicz,linear,3,hard,val,24.2600,37.5000,24.2600,100.0000,0.009306,20,2026-07-19T23:12:39
2,3,lukasiewicz,linear,3,marginal,val,24.2600,38.3800,22.5000,84.5600,0.009306,20,2026-07-19T23:12:39
2,3,lukasiewicz,linear,3,raw,test,24.7700,37.6200,21.9400,78.3600,0.008727,20,2026-07-19T23:12:40
2,3,lukasiewicz,linear,3,hard,test,24.7700,38.1200,24.7700,100.0000,0.008727,20,2026-07-19T23:12:40
2,3,lukasiewicz,linear,3,marginal,test,24.7700,38.4600,22.5600,82.9500,0.008727,20,2026-07-19T23:12:40
2,4,lukasiewicz,linear,3,raw,val,23.9400,38.0400,21.1600,78.3000,0.007516,20,2026-07-19T23:15:31
2,4,lukasiewicz,linear,3,hard,val,23.9400,38.6400,23.9400,100.0000,0.007516,20,2026-07-19T23:15:31
2,4,lukasiewicz,linear,3,marginal,val,23.9400,38.4600,21.8000,83.7600,0.007516,20,2026-07-19T23:15:31
2,4,lukasiewicz,linear,3,raw,test,24.4000,37.3200,21.6100,78.8300,0.007444,20,2026-07-19T23:15:32
2,4,lukasiewicz,linear,3,hard,test,24.4000,37.9000,24.4000,100.0000,0.007444,20,2026-07-19T23:15:32
2,4,lukasiewicz,linear,3,marginal,test,24.4000,38.1900,22.3700,83.7600,0.007444,20,2026-07-19T23:15:32
5,0,lukasiewicz,linear,3,raw,val,23.6400,37.7200,21.8400,81.7200,0.003420,20,2026-07-19T23:18:30
5,0,lukasiewicz,linear,3,hard,val,23.6400,37.6000,23.6400,100.0000,0.003420,20,2026-07-19T23:18:30
5,0,lukasiewicz,linear,3,marginal,val,23.6400,38.0000,21.8800,84.3000,0.003420,20,2026-07-19T23:18:30
5,0,lukasiewicz,linear,3,raw,test,24.2200,37.8500,21.9900,80.3700,0.003413,20,2026-07-19T23:18:30
5,0,lukasiewicz,linear,3,hard,test,24.2200,37.8500,24.2200,100.0000,0.003413,20,2026-07-19T23:18:30
5,0,lukasiewicz,linear,3,marginal,test,24.2200,38.1800,22.2000,83.2600,0.003413,20,2026-07-19T23:18:30
5,1,lukasiewicz,linear,3,raw,val,24.2200,38.3400,22.1200,81.7800,0.003749,20,2026-07-19T23:20:47
5,1,lukasiewicz,linear,3,hard,val,24.2200,38.1400,24.2200,100.0000,0.003749,20,2026-07-19T23:20:47
5,1,lukasiewicz,linear,3,marginal,val,24.2200,38.6800,22.3400,84.6200,0.003749,20,2026-07-19T23:20:47
5,1,lukasiewicz,linear,3,raw,test,24.1200,37.9000,21.8400,81.6900,0.003648,20,2026-07-19T23:20:48
5,1,lukasiewicz,linear,3,hard,test,24.1200,38.2200,24.1200,100.0000,0.003648,20,2026-07-19T23:20:48
5,1,lukasiewicz,linear,3,marginal,test,24.1200,38.3700,22.4400,85.4100,0.003648,20,2026-07-19T23:20:48
5,2,lukasiewicz,linear,3,raw,val,23.9200,37.7000,21.6800,80.3400,0.003983,20,2026-07-19T23:22:41
5,2,lukasiewicz,linear,3,hard,val,23.9200,38.1400,23.9200,100.0000,0.003983,20,2026-07-19T23:22:41
5,2,lukasiewicz,linear,3,marginal,val,23.9200,38.4800,22.3400,85.2400,0.003983,20,2026-07-19T23:22:41
5,2,lukasiewicz,linear,3,raw,test,23.7200,37.6800,21.2400,80.9800,0.003888,20,2026-07-19T23:22:41
5,2,lukasiewicz,linear,3,hard,test,23.7200,38.1500,23.7200,100.0000,0.003888,20,2026-07-19T23:22:41
5,2,lukasiewicz,linear,3,marginal,test,23.7200,38.2100,21.6400,85.1900,0.003888,20,2026-07-19T23:22:41
5,3,lukasiewicz,linear,3,raw,val,23.6000,38.0400,21.4600,81.5600,0.002794,20,2026-07-19T23:25:11
5,3,lukasiewicz,linear,3,hard,val,23.6000,37.8400,23.6000,100.0000,0.002794,20,2026-07-19T23:25:11
5,3,lukasiewicz,linear,3,marginal,val,23.6000,38.0600,21.5000,84.1800,0.002794,20,2026-07-19T23:25:11
5,3,lukasiewicz,linear,3,raw,test,24.1900,38.0300,21.8900,81.0000,0.003374,20,2026-07-19T23:25:12
5,3,lukasiewicz,linear,3,hard,test,24.1900,38.4700,24.1900,100.0000,0.003374,20,2026-07-19T23:25:12
5,3,lukasiewicz,linear,3,marginal,test,24.1900,38.3000,22.0400,83.7400,0.003374,20,2026-07-19T23:25:12
5,4,lukasiewicz,linear,3,raw,val,24.0200,38.0600,21.5800,81.7600,0.002975,20,2026-07-19T23:28:06
5,4,lukasiewicz,linear,3,hard,val,24.0200,38.5000,24.0200,100.0000,0.002975,20,2026-07-19T23:28:06
5,4,lukasiewicz,linear,3,marginal,val,24.0200,38.4800,21.9800,84.9600,0.002975,20,2026-07-19T23:28:06
5,4,lukasiewicz,linear,3,raw,test,23.4900,36.8200,21.2500,80.8500,0.003104,20,2026-07-19T23:28:07
5,4,lukasiewicz,linear,3,hard,test,23.4900,37.3400,23.4900,100.0000,0.003104,20,2026-07-19T23:28:07
5,4,lukasiewicz,linear,3,marginal,test,23.4900,37.5600,21.6400,84.4500,0.003104,20,2026-07-19T23:28:07
2,0,product,linear,3,raw,val,23.2400,37.2200,21.1800,82.9800,0.002187,20,2026-07-19T23:36:53
2,0,product,linear,3,hard,val,23.2400,37.3800,23.2400,100.0000,0.002187,20,2026-07-19T23:36:53
2,0,product,linear,3,marginal,val,23.2400,37.3600,21.2000,85.6200,0.002187,20,2026-07-19T23:36:53
2,0,product,linear,3,raw,test,23.4400,37.4400,21.4800,82.8900,0.002470,20,2026-07-19T23:36:54
2,0,product,linear,3,hard,test,23.4400,37.3700,23.4400,100.0000,0.002470,20,2026-07-19T23:36:54
2,0,product,linear,3,marginal,test,23.4400,37.5300,21.7900,85.7600,0.002470,20,2026-07-19T23:36:54
2,1,product,linear,3,raw,val,23.8000,38.0200,21.9200,83.7600,0.002777,20,2026-07-19T23:39:19
2,1,product,linear,3,hard,val,23.8000,38.3000,23.8000,100.0000,0.002777,20,2026-07-19T23:39:19
2,1,product,linear,3,marginal,val,23.8000,38.3800,21.9400,86.2000,0.002777,20,2026-07-19T23:39:19
2,1,product,linear,3,raw,test,23.4000,37.2400,21.1600,83.8200,0.002804,20,2026-07-19T23:39:19
2,1,product,linear,3,hard,test,23.4000,38.0600,23.4000,100.0000,0.002804,20,2026-07-19T23:39:19
2,1,product,linear,3,marginal,test,23.4000,37.5000,21.3500,86.2900,0.002804,20,2026-07-19T23:39:19
2,2,product,linear,3,raw,val,23.2000,37.3000,20.8400,82.4800,0.002146,20,2026-07-19T23:41:32
2,2,product,linear,3,hard,val,23.2000,37.9600,23.2000,100.0000,0.002146,20,2026-07-19T23:41:32
2,2,product,linear,3,marginal,val,23.2000,37.2600,21.1200,85.2800,0.002146,20,2026-07-19T23:41:32
2,2,product,linear,3,raw,test,23.4600,37.2300,21.4100,82.4400,0.002392,20,2026-07-19T23:41:32
2,2,product,linear,3,hard,test,23.4600,37.6400,23.4600,100.0000,0.002392,20,2026-07-19T23:41:32
2,2,product,linear,3,marginal,test,23.4600,37.7200,21.7800,85.6200,0.002392,20,2026-07-19T23:41:32
2,0,godel,linear,3,raw,val,24.9600,37.2000,21.6000,73.8400,0.033006,20,2026-07-19T23:44:01
2,0,godel,linear,3,hard,val,24.9600,37.4800,24.9600,100.0000,0.033006,20,2026-07-19T23:44:01
2,0,godel,linear,3,marginal,val,24.9600,37.9800,22.7800,82.5200,0.033006,20,2026-07-19T23:44:01
2,0,godel,linear,3,raw,test,24.9400,38.6600,21.6000,73.2200,0.032054,20,2026-07-19T23:44:02
2,0,godel,linear,3,hard,test,24.9400,38.2500,24.9400,100.0000,0.032054,20,2026-07-19T23:44:02
2,0,godel,linear,3,marginal,test,24.9400,38.8900,23.0400,82.5600,0.032054,20,2026-07-19T23:44:02
2,1,godel,linear,3,raw,val,26.0200,38.2400,22.2400,73.5000,0.031672,20,2026-07-19T23:46:49
2,1,godel,linear,3,hard,val,26.0200,38.2600,26.0200,100.0000,0.031672,20,2026-07-19T23:46:49
2,1,godel,linear,3,marginal,val,26.0200,38.4800,23.7000,82.3000,0.031672,20,2026-07-19T23:46:49
2,1,godel,linear,3,raw,test,24.7800,37.1200,21.2300,73.1400,0.031258,20,2026-07-19T23:46:49
2,1,godel,linear,3,hard,test,24.7800,37.3300,24.7800,100.0000,0.031258,20,2026-07-19T23:46:49
2,1,godel,linear,3,marginal,test,24.7800,38.2600,22.6800,81.4600,0.031258,20,2026-07-19T23:46:49
2,2,godel,linear,3,raw,val,25.4400,38.2600,21.3800,74.0200,0.027213,20,2026-07-19T23:49:14
2,2,godel,linear,3,hard,val,25.4400,38.7800,25.4400,100.0000,0.027213,20,2026-07-19T23:49:14
2,2,godel,linear,3,marginal,val,25.4400,39.3200,23.2000,82.4600,0.027213,20,2026-07-19T23:49:14
2,2,godel,linear,3,raw,test,24.3200,37.1200,20.9200,73.5400,0.027814,20,2026-07-19T23:49:15
2,2,godel,linear,3,hard,test,24.3200,37.3200,24.3200,100.0000,0.027814,20,2026-07-19T23:49:15
